id,destination_category,purpose,distance_km,duration_days,transport_cost,accommodation_cost,total_cost,cost_per_km
1,europe,client_visit,2050.3,6,33244,18290,51534,25.1
2,europe,training,1589.9,3,56946,20158,77104,48.5
3,nearby_eu,training,687.5,2,12196,4723,16919,24.6
4,europe,client_visit,1489.1,4,58713,18859,77572,52.1
5,europe,conference,1919.4,5,60326,29446,89772,46.8
6,europe,other,1292.7,3,43007,23036,66043,51.1
7,domestic,client_visit,164.6,2,2026,5408,7434,45.2
8,europe,training,1670.0,5,59682,27217,86899,52.0
9,domestic,conference,320.5,2,2131,3896,6027,18.8
10,nearby_eu,client_visit,516.7,5,34827,34764,69591,134.7
11,nearby_eu,training,617.4,3,12055,13788,25843,41.9
12,domestic,client_visit,400.1,2,2799,2860,5659,14.1
13,domestic,conference,299.9,2,2661,4673,7334,24.5
14,europe,client_visit,1874.1,4,47401,17299,64700,34.5
15,europe,client_visit,1318.4,5,42232,29623,71855,54.5
16,nearby_eu,client_visit,482.6,3,4814,5885,10699,22.2
17,domestic,other,336.0,1,3022,3604,6626,19.7
18,europe,training,1039.8,4,22314,17582,39896,38.4
19,nearby_eu,conference,679.9,3,9211,5887,15098,22.2
20,europe,training,1739.6,5,76276,22826,99102,57.0
21,domestic,client_visit,310.8,3,3926,7558,11484,36.9
22,domestic,client_visit,190.4,1,1707,1303,3010,15.8
23,nearby_eu,conference,241.7,2,4222,9350,13572,56.1
24,nearby_eu,client_visit,675.3,2,5947,7528,13475,20.0
25,domestic,client_visit,194.3,2,2618,4670,7288,37.5
26,domestic,client_visit,50.0,1,492,4307,4799,96.0
27,europe,conference,1300.4,3,27789,11386,39175,30.1
28,domestic,training,397.4,1,5158,2546,7704,19.4
29,nearby_eu,conference,429.4,3,6048,6402,12450,29.0
30,intercontinental,other,12621.5,10,158717,86949,245666,19.5
31,domestic,training,222.5,10,45015,123647,168662,758.0
32,domestic,other,88.5,3,1433,6164,7597,85.9
33,domestic,client_visit,125.0,1,1496,1893,3389,27.1
34,nearby_eu,conference,657.6,4,10792,17370,28162,42.8
35,domestic,client_visit,161.9,1,1266,1937,3203,19.8
36,europe,training,1618.4,4,41342,29276,70618,43.6
37,europe,other,1507.3,4,39640,21930,61570,40.8
38,nearby_eu,conference,600.8,3,19453,20813,40266,67.0
39,intercontinental,training,4102.4,7,58258,86337,144595,35.2
40,europe,training,800.0,5,16636,20443,37079,46.3
41,domestic,client_visit,266.8,1,1769,4941,6710,25.1
42,domestic,training,537.2,4,3869,7650,11519,21.4
43,domestic,training,141.8,2,1763,5190,6953,49.0
44,domestic,conference,87.5,2,812,4805,5617,64.2
45,domestic,client_visit,421.8,2,4654,4489,9143,21.7
46,intercontinental,other,9086.2,9,212255,127641,339896,37.4
47,nearby_eu,conference,324.1,4,5582,16322,21904,67.6
48,domestic,training,343.6,1,3011,2431,5442,15.8
49,nearby_eu,training,556.2,3,9287,17841,27128,48.8
50,nearby_eu,client_visit,620.6,3,8947,5232,14179,22.8
51,nearby_eu,conference,227.2,4,3315,13286,16601,73.1
52,europe,conference,2380.0,6,108241,46927,155168,65.2
53,nearby_eu,training,681.0,4,10027,13948,23975,35.2
54,domestic,training,115.0,2,1090,6866,7956,69.2
55,domestic,training,382.3,1,3752,1409,5161,13.5
56,europe,client_visit,1982.5,4,41793,20250,62043,31.3
57,nearby_eu,conference,651.8,4,12366,5693,18059,27.7
58,nearby_eu,training,675.2,5,6062,13579,19641,29.1
59,domestic,conference,486.6,2,6168,3541,9709,20.0
60,europe,client_visit,1739.7,5,52542,18007,70549,40.6
61,domestic,conference,333.7,7,32196,57284,89480,268.1
62,europe,client_visit,1106.6,5,39250,25108,64358,58.2
63,intercontinental,training,10557.1,11,263351,79365,342716,32.5
64,domestic,client_visit,215.9,2,3115,2393,5508,25.5
65,domestic,client_visit,168.8,2,1955,4887,6842,40.5
66,domestic,other,287.6,1,3270,2872,6142,21.4
67,intercontinental,training,8587.1,11,119031,104945,223976,26.1
68,domestic,conference,307.5,2,37037,5363,42400,137.9
69,domestic,conference,396.1,1,2755,1252,4007,10.1
70,europe,conference,2049.7,4,540429,30254,570683,278.4
71,europe,conference,1138.3,7,32706,25460,58166,51.1
72,domestic,training,155.7,2,1949,8461,10410,66.9
73,nearby_eu,conference,340.7,3,5254,5086,10340,30.4
74,domestic,conference,205.3,1,1708,2588,4296,20.9
75,nearby_eu,client_visit,663.2,4,108805,7759,116564,175.8
76,europe,client_visit,2268.8,5,61234,28542,89776,39.6
77,nearby_eu,conference,596.0,3,12888,7396,20284,34.0
78,nearby_eu,client_visit,652.2,2,6686,3093,9779,15.0
79,domestic,conference,239.0,3,3256,4578,7834,32.8
80,nearby_eu,training,514.6,3,9792,8966,18758,36.5
81,nearby_eu,client_visit,581.5,6,9902,35168,45070,77.5
82,intercontinental,other,8041.0,8,84036,73484,157520,19.6
83,europe,client_visit,1967.5,6,74652,34483,109135,55.5
84,domestic,client_visit,236.8,2,1417,3873,5290,22.3
85,europe,other,2418.3,6,55358,16949,72307,29.9
86,domestic,other,618.9,2,5291,5250,10541,17.0
87,europe,client_visit,1659.7,5,57989,28498,86487,52.1
88,domestic,conference,405.7,3,3091,4710,7801,19.2
89,intercontinental,conference,12130.7,8,237009,65596,302605,24.9
90,nearby_eu,client_visit,496.8,2,7010,8075,15085,30.4
91,domestic,conference,204.6,12,47230,50601,97831,478.2
92,domestic,training,314.7,2,2931,4141,7072,22.5
93,domestic,client_visit,379.0,2,4220,5436,9656,25.5
94,europe,other,1547.7,4,35093,13510,48603,31.4
95,domestic,client_visit,208.1,1,2039,2497,4536,21.8
